sozum,anlami,anahtar,turu2,kategori
sözünü tutmak,"verdiği sözü yerine getirmek:<i> 'Sözümü tuttum gibime geliyor, siz istediğiniz kadar bana meşhursun deyin.' -</i>S. F. Abasıyanık.",söz,Deyim,8
sözünün eri,verdiği sözü ne olursa olsun yerine getiren kimse.,söz,Deyim,8
stop etmek,"araba, durmak.",stop,Deyim,6
stres atmak,"bir etkinlikte bulunarak gerginlikten, sıkıntıdan kurtulmak.",stres,Deyim,4
strese girmek,"gerilmek, sıkıntıya girmek:<i> 'Evine görücü gelecek kız tarafı strese girerdi.' -</i>Ü. Dökmen.",stres,Deyim,8
strese sokmak,"gerilime, sıkıntıya sokmak.",stres,Deyim,8
su akarken testiyi doldurmalı (doldur),"kişi, fırsattan yararlanmalı; geliri bol olduğu zaman ilerisi için para biriktirmeye, mal mülk edinmeye bakmalıdır.","su, akmak, doldurmak",Atasözü,8
su aktığı yere (yine) akar,"daha önce bize yararı dokunmuş olan güzel bir durum, bugün bulunmasa bile yarın yine ortaya çıkar.","su, akmak",Atasözü,2
su almak,"1) suyu içine çekmek:<i> Ayakkabılarım su alıyor.</i> 2)<i> den.</i> su yapmak; 3)<i> den.</i> gemiye içme suyu doldurmak; 4)<i> tıp</i> herhangi bir organdan tedavi maksadıyla su boşaltmak; 5)<i> mec.</i> bozukluk, yozlaşma başlamak:<i> 'Bu güven bir yerinden su alıyorsa o gediği zamanında kapamak gerekir.' -</i>H. Taner.",su(I),Deyim,4
su basmak,"bir şey veya yer sular altında kalmak, her yanı suyla dolmak.",???su(I),Deyim,4
su başından (bendinden) kesilir (bağlanır),"bir işi, kimsenin karışamayacağı ve bozamayacağı biçimde bitirmek için yetkili kişilerin en büyüğü ile görüşüp anlaşmak gerektir.","su, bent, kesilmek, bağlanmak",Atasözü,4
su bulanmayınca durulmaz,"bir konu, türlü çekişmelerden sonra aydınlığa kavuşur, yoluna girer.","su, bulanmak, durulmak",Atasözü,4
su çarpmak,yüzünü su ile yıkamak.,su(I),Deyim,8
su çekmek,1) içine su almak; 2) alçak bir yerden tulumba vb. ile su çıkarmak.,su(I),Deyim,7
su dökmek,<i> hlk.</i> küçük abdest bozmak.,su(I),Deyim,2
su dökünmek,yıkanmak:<i> 'Biraz su dökünüp hafiflik hissettikten sonra kalktılar.' -</i>N. F. Kısakürek.,su(I),Deyim,8
su etmek,<i> den.</i> bir geminin içine herhangi bir yerinden su girmek veya su sızmak.,su(I),Deyim,6
su gelmek,<i> tıp</i> doğumdan önce amniyon sıvısı döl yolundan akmak.,su(I),Deyim,8
su gibi,"çok ıslak:<i> 'Ben bir yere gidemem, arkamda gömlek su gibi.' -</i>M. Ş. Esendal.",su(I),Deyim,9
su gibi akmak,"1) zaman hızla geçmek; 2) para, yiyecek vb. bol bol gelmek:<i> 'Şoförlükten bir senede artırdığım para ile bu bağı almıştım. O vakit su gibi para akıyordu.' -</i>R. N. Güntekin.",su(I),Deyim,8
su gibi aziz ol!,su getirenlere iyi dilek olarak söylenen bir söz.,su(I),Deyim,4
su gibi bilmek (okumak),yanlışsız bilmek veya okumak.,su(I),Deyim,8
su gibi ezberlemek,yanlışsız okuyabilecek kadar ezberlemek.,su(I),Deyim,8
su gibi olmak,çok ıslanmak.,su(I),Deyim,9
su gibi terlemek,çok terlemek.,su(I),Deyim,9
su görmemiş,"çok kirli (yüz, el).",su(I),Deyim,9
su götürür yeri olmamak,başka türlü yorumlanacak bir yönü bulunmamak:<i> Yapılanların su götürür yeri kalmadı.</i>,su(I),Deyim,4
su içene yılan bile dokunmaz,düşman olsa bile su içen kimseye dokunulmamalıdır.,"su, içmek, dokunmak",Atasözü,2
su içinde,en kötü şartlarda bile:<i> Bu masa su içinde on bin lira eder.</i>,su(I),Deyim,2
su içinde kalmak,"çok terlemek, su gibi ıslanmak.",su(I),Deyim,9
su iktiza etmek,gusül gerekmek.,su(I),Deyim,6
su kaçırmak,"1) su sızdırmak; 2)<i> argo</i> baş ağrıtmak, can sıkmak.",su(I),Deyim,8
su kapmak,yaralar azmak.,su(I),Deyim,8
su katılmamış,"kendine özgü olan durumu koruyan, başka bir etkiyle değişmemiş, bozulmamış olan:<i> 'O bizim su katılmamış biricik münekkidimizdir.' -</i>B. R. Eyuboğlu.",su(I),Deyim,8
su kesmek,sulanmak:<i> Bu yoğurt su kesmiş. Bu karpuz dura dura su kesmiş.</i>,su(I),Deyim,8
su koyuvermek,"1) sebze ve et pişerken suyunu salıvermek; 2)<i> argo</i> sözünde durmamak, cıvıtmak:<i> 'Melahat büsbütün su koyuvermiş, yerlere yatarak gülüyor.' -</i>H. Taner. 3) vazgeçmek; 4) beklenen görevi yapmamak.",su(I),Deyim,8
"su küçüğün, söz (sofra, yemek) büyüğün","1) temel bir ihtiyaç olan su önce küçüğe verilir, konuşmaya ise ilk önce büyükler başlar; 2) her şeyin bir sırası vardır; kişiler bu sıralamada yaşlarına, kültürlerine vb. özelliklerine göre yer alırlar.","su, küçük, büyük",Atasözü,4
su testisi su yolunda kırılır,bir kişi amaç edindiği işte kazaya uğrar.,"su, kırılmak",Atasözü,8
"su uyur, düşman uyumaz",düşmana karşı her zaman uyanık davranmak gerekir.,"su, uyumak",Atasözü,8
su vermek,1) bitkileri sulamak; 2) hayvanlara su içirmek; 3) insanlara içmek için su getirmek.,su(I),Deyim,8
su yapmak,"<i> den.</i> gemi veya sandalın içine dibinden su girmek:<i> 'Bir adam için alın damarı çatlamış, dediler mi su yapan tekneden beterdir.' -</i>B. Felek.",su(I),Deyim,8
su yatağını bulur,"bir şeyi yapma isteği ve gücü bulunan kimse, uygun bir çalışma yönü ve alanı bulur.","su, bulmak",Atasözü,4
su yürümek,ilkbahara doğru ağaçlar tomurcuklanmaya başlamak.,su(I),Deyim,8
su yüzü görmemiş,su görmemiş.,su(I),Deyim,8
su yüzüne çıkmak,"bir süre örtülü kalmış bir iş veya sorun aydınlanmak, belli olmak:<i> 'Tiyatroda sorunlar su yüzüne çıkmış, bunların neler olduğu anlaşılmıştır.' -</i>M. And.",su(I),Deyim,4
su yüzüne (üstüne) çıkmak,görünür olmak:<i> 'Bilinçaltı bir baskı belki de ilk kez su üstüne çıkıyordu.' -</i>Ç. Altan.,su(I),Deyim,1
sual açmak,"üst bir mevki, sorumlu sayılan birine soru sormak.",sual,Deyim,4
sucuğunu çıkarmak,1) yormak; 2) çok dövmek.,sucuk,Deyim,9
sucuk gibi olmak (ıslanmak),baştan aşağı ıslanmak.,sucuk,Deyim,1
suç samur kürk olsa kimse üstüne almaz,hiç kimse suçlu olduğunu kabul etmek istemez.,"olmak, üst, almak",Atasözü,6
"suçu gelin etmişler, kimse güveyi girmemiş","ne kadar çekici olursa olsun, suçu kimse kabul etmez.","etmek, girmek",Atasözü,8
sudan çıkmış balığa dönmek,"herhangi bir sebeple ne yapacağını bilememek, çok şaşırmak:<i> 'Yaşama adım attılar mı sudan çıkmış balığa dönerler. Ya yetenekleri değerlendirilmezse bu yeni çevrede? Ya saygı görmezlerse?' -</i>T. Uyar.",su(I),Deyim,8
sudan geçirmek,1) herhangi bir şeyi üstünkörü yıkamak; 2) sabunlu çamaşırı durulamak.,su(I),Deyim,4
sufle etmek,"1)<i> tiy.</i> oyunculara, izleyicilere duyurmadan söyleyecekleri sözü veya cümleyi fısıldamak; 2) birine unuttuğu bir sözü veya cümleyi kimseye duyurmadan hatırlatmak.",sufle,Deyim,6
suikastta parmağı olmak,düzenlenen suikast olayında rol oynamak.,suikast,Deyim,1
sular kararmak,akşam olmaya başlamak:<i> 'Son vapur iskeleye sular kararırken yanaşırdı.' -</i>A. Ş. Hisar.,su(I),Deyim,8
sular seller gibi,bir metni yanlışsız söyleyecek kadar.,su(I),Deyim,4
suna gibi,suna boylu.,suna,Deyim,8
surat asmak,"kaşlarını çatıp yüzüne küskün veya dargın bir anlam vermek, somurtmak:<i> 'Babam biraz surat astı ama anam katıldı gülmekten.' -</i>F. R. Atay.",surat,Deyim,8
surat etmek,"birine karşı küskün durmak, asık yüzlü olmak:<i> 'Şimdi ters yüzü eve dönsek çocuklar ağlar, bayan surat eder.' -</i>R. N. Güntekin.",surat,Deyim,6
surat kalmamak,utanmaz duruma gelmek:<i> 'İkimizde de birbirimize bakacak surat kalmamıştı.' -</i>M. Ş. Esendal.,surat,Deyim,8
surat mahkeme duvarı,"1) asık suratlı, kimseye gülmeyen, suskun duran; 2) utanmaz, sıkılmaz:<i> 'Onda surat mahkeme duvarı, tükürsem yağmur yağıyor sanacak.' -</i>R. N. Güntekin.",surat,Deyim,8
surat (suratı) bir karış,"öfkeli, kızgın ve somurtkan.",surat,Deyim,4
surata bak süngüye davran,çok asık suratlı kimseler için kullanılan bir söz.,surat,Deyim,3
suratı bir karış asılmak,"öfkelenmek, kızmak ve somurtmak:<i> 'Hemen suratları bir karış asılır, ona bir sövüp saymadıkları kalır.' -</i>Y. K. Karaosmanoğlu.",surat,Deyim,4
suratı değişmek,"bir kimseye karşı davranışı değişmek, daha sert bir durum almak.",surat,Deyim,7
suratı kasap süngeriyle silinmiş,"'utanması, sıkılması kalmamış' anlamında kullanılan bir söz.",surat,Deyim,3
suratı sirke satmak,"öfkeli, kızgın olduğu anlaşılmak.",surat,Deyim,8
suratına indirmek,tokat atmak.,surat,Deyim,8
suratından düşen bin parça olmak,öfke veya küskünlükten ileri gelen can sıkıntısıyla suratı asık olmak.,surat,Deyim,1
suratını dağıtmak,yüzüne zarar verecek biçimde dövmek.,surat,Deyim,8
suratını ekşitmek (buruşturmak),"yüzüne memnun olmadığını belirten bir anlam vermek:<i> 'İşte ilmin, âlimin kıymeti bilinmeye başladı diye suratımı ekşittim.' -</i>Ö. Seyfettin.<i> 'Ben suratımı buruşturdukça, bir yaz öğlesinde yarı açık kalmış bir musluktan akarak ak mermer bir yalakta şarkı söyleyen serin bir su gibi gülsün o!' -</i>N. Hikmet.",surat,Deyim,4
suret almak (çıkarmak),bir belgenin kopyasını çıkarmak.,suret,Deyim,7
sureti haktan görünmek,1) kendisini iyi niyetli imiş gibi göstermek:<i> 'İstanbul'a sureti haktan görünen öyle belediye başkanları geldi ki Anadolu'dan gelen hemşehrilerinin gecekondularına göz yumdu.' -</i>A. Boysan. 2) birinin iyiliği için çalışıyor görünmek.,suret,Deyim,8
suretine girmek,"bir şeyin görünüşüne, biçimine benzemek.",suret,Deyim,4
suspus etmek,susturmak:<i> 'Kamburunu gittikçe daha çıkararak tartışmacıları suspus eder.' -</i>S. Birsel.,suspus,Deyim,6
suspus olmak,"susmak, sinmek, sesini hiç çıkarmamak:<i> 'Bir an üçü de suspus oldular, hiç kimse konuşmadı.' -</i>T. Dursun K.",suspus,Deyim,1
susta durdurmak,"1) köpeği arka ayakları üzerinde durdurmak; 2)<i> mec.</i> bir kimseyi veya birilerini yıldırmak:<i> 'Sade kazada değil, vilayette bile en belli başlı memurları ve eşrafı susta durdurur.' -</i>R. N. Güntekin.",susta(I),Deyim,2
susta durmak,"1) köpek arka ayakları üzerinde durmak; 2)<i> mec.</i> hazır durumda beklemek:<i> 'Benim susta durmam, ellerimi kaldırıvermem daha kolay.' -</i>N. Hikmet. 3)<i> mec.</i> korktuğu bir kimsenin karşısında saygılı ve çekingen davranmak.",susta(I),Deyim,8
sustaya kalkmak,köpek susta durmak.,susta(I),Deyim,8
suya göstermek,hafifçe yıkamak.,su(I),Deyim,8
suya götürüp susuz getirmek,"herhangi bir işte akıl, zekâ, deneyim ve kurnazlıkla bir diğerini alt etmek.",su(I),Deyim,6
suya sabuna dokunmamak,"1) sakıncalı konularla ilgilenmemek:<i> 'İyisi mi bir yazar, hep suya sabuna dokunmayan yazılar yazmalı.' -</i>O. V. Kanık. 2) davranışlarını kimseyi incitmeyecek biçimde ayarlamak.",su(I),Deyim,8
suya salmak,boşuna harcamak.,su(I),Deyim,8
suyu baştan (başından) kesmek,işin aslı üzerinde kesin bir şey söyleyip ayrıntılarını konuşmaya gerek duymamak.,su(I),Deyim,4
suyu çıkmak,"çok söz edildiği veya üzerinde yerli yersiz durulduğu için değerini yitirmek, önemsizleşmek.",su(I),Deyim,9
"suyu getiren de bir, testiyi kıran da",görevini iyi yapanla kötüye kullanan arasında bir fark gözetilmemektedir.,"su, getirmek, kırmak",Atasözü,4
suyu görmeden paçaları sıvamak,henüz hiçbir belirti yokken veya gereğinden çok önceden hazırlanmaya kalkışmak.,su(I),Deyim,9
suyu görünce teyemmüm bozulur,"bir zorunluluk dolayısıyla yapılmakta olan bir işin, bu zorunluluk ortadan kalktığında gereği gibi yapılmak için yeni baştan ele alınması gerekir.","su, görmek, bozulmak",Atasözü,4
suyu ısınmak (kaynamak),<i> tkz.</i> işbaşından uzaklaştırılması yaklaşmak veya gelmek.,su(I),Deyim,8
suyu kesilmiş değirmene dönmek,"işlemez, yararsız duruma gelmek.",su(I),Deyim,8
suyu seli kalmamak,sulu yemek kaynaya kaynaya suyu azalmak.,su(I),Deyim,0
suyun akıntısına gitmek,"olayların veya durumun gelişmesine göre davranmak, uymak:<i> 'Bunlarda sezilen intibakçı hatta biraz suyun akıntısına giden ruh, Ayşe'nin mizacına pek uymuştu.' -</i>H. E. Adıvar.",su(I),Deyim,8
suyun başı,"1) suyun çıktığı yer, kaynak:<i> 'Suyun başına çöküp ellerini, yüzünü yıkamaya koyuldu.' -</i>Y. K. Karaosmanoğlu. 2) bir işin asıl yetkililerinin bulunduğu yer; 3)<i> mec.</i> en çok yarar sağlanacak yer.",su(I),Deyim,9
"suyun duru akanından, insanın yere bakanından korkmalı",duygu ve düşüncelerini açığa vurmayan sessiz insan yavaş akan derin su gibi tehlikelidir.,"su, akmak, bakmak, korkmak",Atasözü,8
"suyun sessizinden, insanın sözsüzünden korkmalı",duygu ve düşüncelerini açığa vurmayan sessiz insan yavaş akan derin su gibi tehlikelidir.,"su, korkmak",Atasözü,8
"suyun yavaş akanından, insanın yere bakanından kork (sakın)",duygu ve düşüncelerini açığa vurmayan sessiz insan yavaş akan derin su gibi tehlikelidir.,"su, akmak, bakmak, korkmak, sakınmak",Atasözü,8
suyuna gitmek,suyunca gitmek.,su(I),Deyim,8
suyuna tirit,"baştan savma, değersiz, özensiz.",su(I),Deyim,8
suyunca gitmek,bir kimseyi sinirlendirmeyecek biçimde davranmak.,su(I),Deyim,4
suyunu almak,kaynatılan yiyeceğin suyunu ayırmak.,su(I),Deyim,7
suyunu çekmek,1) yemek kaynayıp suyu kalmamak; 2)<i> tkz.</i> tükenmek:<i> 'Paralar suyunu çekti. Fabrika da olduğu gibi Nihat'a geçti.' -</i>N. F. Kısakürek.,su(I),Deyim,0
suyunun suyu,tavşanın suyunun suyu.,su(I),Deyim,8
sübut bulmak,"tanıtlanmak, ispat edilmek:<i> Suç sübut buldu.</i>",sübut,Deyim,8
sükse yapmak,1) başarı kazanmak:<i> 'Paris sosyetesinde büyük sükse yapmıştı.' -</i>A. Gündüz. 2) ilgi çekecek bir durum yaratmak.,sükse,Deyim,8
sükûnet bulmak,"sakinleşmek, rahatlamak:<i> 'Azıcık sükûnet bulduktan sonra odayı terk etmediğime sevindim.' -</i>R. H. Karay.",sükûnet,Deyim,8
sükût ikrardan gelir,susmak kabul etmek demektir.,gelmek,Atasözü,6
sükûtla geçiştirmek,"sözü edilmesi gereken bir noktayı söylemeden atlamak, bile bile bir konuya değinmemek.",sükût,Deyim,2
süluk etmek,1) bir işe girmek; 2) bir tarikata girmek.,süluk,Deyim,6
sülük gibi,"çok sırnaşık, yapışkan (kimse).",sülük,Deyim,9
sülük vurmak,tedavi amacıyla sülük yapıştırmak.,sülük,Deyim,8
sülün gibi,boylu boslu ve yürüyüşü güzel (kız veya kadın).,sülün,Deyim,8
sümen altı etmek,1) bir evrakın işleme konulmasını engellemek; 2) bir işin yapılmasını geciktirmek.,sümen,Deyim,6
sünger gibi,çok yumuşak.,sünger,Deyim,9
sünnet etmek,erkek çocukta erkeklik organının ucundaki deriyi çepeçevre kesmek.,sünnet,Deyim,6
sünnet olmak,sünnet edilmek.,sünnet,Deyim,1
"sür git dememişler, gör geç demişler","beğenmediğiniz durumu, sürüp giden bir anlaşmazlık konusu yapmayınız, hoş görüp kabul ediniz.","sürmek, gitmek, demek, görmek, geçmek",Atasözü,8
sürgit yapmak,"iş için uzatmak, sürdürüp durmak.",sürgit,Deyim,8
sürgün gitmek (olmak),"1) sürgüne gönderilmek, sürgün cezasına uğramak; 2) olağandan daha çok, daha sık ve sulu dışkı çıkarmak, ishal olmak.",sürgün,Deyim,1
sürgün vermek,filizlenmek.,sürgün,Deyim,8
sürgüne göndermek,ceza olarak bir yere sürmek.,sürgün,Deyim,4
sürme çekmek,"gözleri sürme ile boyamak:<i> 'Kirpiğine sürme çek, kına yak parmağına.' -</i>R. C. Emek.",sürme(II),Deyim,8
sürmeyi gözden çekmek,gözden sürmeyi çekmek.,sürme(II),Deyim,8
sürpriz yapmak,"birini, beklenmedik, şaşırtan, sevindiren veya üzen bir olayla karşılaştırmak.",sürpriz,Deyim,4
sürtünüp durmak,"çıkarı, kazancı için yaltaklanıp durmak.",sürtünmek,Deyim,8
sürtüp durmak,"<i> tkz.</i> yersiz, sebepsiz olarak durmadan dolaşmak:<i> 'Galiba bu tarihî günün yüzü suyu hürmetine, Beyoğlu'nda sürtüp durdukları yanlarına kâr kaldı idi.' -</i>H. Taner.",sürtmek,Deyim,8
"sürüden ayrılanı (ayrılan koyunu, kuzuyu) kurt kapar",arkadaşların yardımıyla yapılan veya bir amaç uğruna topluca girişilen bir işten ayrılanlar zarara uğrarlar.,"ayrılmak, kapmak",Atasözü,4
sürüden ayrılmak,"herkesin tuttuğu yolu bırakıp ayrı bir yol tutturmak, herkesin yaptığını yapmamak.",sürü,Deyim,4
sürüm sürüm sürünmek,yoksul ve perişan bir biçimde yaşamak.,sürüm sürüm,Deyim,4
sürüp gelmek,"eskiden beri devam etmek:<i> 'Muhtarla hiç aram yoktu, babamın sağlığından beri sürüp gelen bir inatlaşma vardı.' -</i>M. Kutlu.",sürmek,Deyim,6
sürüp gitmek,"eskiden olduğu gibi, eskiden nasılsa gene öyle olmak, öyle devam etmek:<i> 'Laf atmalar, ıslık çalmalar, kavgaya tutuşmalar gün boyu sürüp gitti.' -</i>L. Tekin.",sürmek,Deyim,6
sürüsüne bereket!,"pek çok, pek bol:<i> Onda hısım akraba sürüsüne bereket!</i>",sürü,Deyim,9
sürüyü güden kurdu görür,zor bir işe giren onun bütün sıkıntılarıyla karşılaşabilir.,"gütmek, kurt, görmek",Atasözü,4
süs için,"'yararlı olmak amacıyla değil, gerektiği için değil' anlamında kullanılan bir söz.",süs,Deyim,3
süsleyip püslemek,"özenle, özen göstererek süslemek, göze çarpacak kadar süslemek, telleyip pullamak.",süslemek,Deyim,8
süt çekmek,bir özelliği akrabalarına benzemek.,süt,Deyim,4
süt dökmüş kedi gibi,suçunu bilerek bundan utanarak:<i> 'Hele süt dökmüş kedi gibi susmaktan ne çıkar?' -</i>N. Uygur.,süt,Deyim,8
süt dökmüş kediye dönmek,"suçunu bilerek bundan utanmak:<i> 'İş söze döküldü mü nedense tutuklaşıyor, süt dökmüş kediye dönüyordu.' -</i>A. İlhan.",süt,Deyim,8
süt gibi,"çok beyaz, çok temiz:<i> 'Hacı yenge süt gibi saçları, buruşuk yüzüyle asıl şimdi eli öpülecek bir hacı yenge olmuştu.' -</i>R. N. Güntekin.",süt,Deyim,9
süt ineği gibi sağmak,birinden kendi çıkarı için daima aşırı ölçülerde yarar sağlamak için uğraşmak.,süt ineği,Deyim,8
süt vermek,emzirmek.,süt,Deyim,8
sütçü beygiri gibi,çok tembel ve miskin.,sütçü,Deyim,9
sütçü beygiri gibi ayakta uyumak,çok tembel ve miskin olmak.,sütçü,Deyim,9
"sütle giren huy, canla çıkar","kişinin küçükken edindiği huy, ölünceye değin sürer.","girmek, çıkmak",Atasözü,2
sütlüyü sürüden çıkarmazlar,"yararlı, verimli şey elden çıkarılmaz.",çıkarmak,Atasözü,8
sütsüz koyun meleyen olur,"çevresine yararlı olmayan, elinde avucunda bir şey bulunmayan kişi hep acıklı ve üzüntülü konuşur.","melemek, olmak",Atasözü,8
sütten ağzı yanan yoğurdu (ayranı) üfleyerek yer (içer),"bir olaydan gerekli dersi alan, sonra uyanık davranır.","ağız, yanmak, yoğurt, üflemek, yemek, içmek",Atasözü,8
sütten ağzı yanmak,bir olaydan gerekli dersi alarak uyanık davranmak.,süt,Deyim,4
sütten çıkmış ak kaşık gibi olmak,"temiz, saf olmak.",süt,Deyim,1
sütten kesilmek,"<i> tıp</i> hastalık, üzüntü veya bebeğin emmesi nedeniyle anneye süt gelmemek.",süt,Deyim,8
sütten kesmek,"emzirmeye son vermek:<i> 'Fadime'yi aldım götürdüm, kaynanamın odasına bıraktım, sütten kesmiştim.' -</i>H. E. Adıvar.",süt,Deyim,8
sütun gibi,düzgün biçimli (bacak).,sütun,Deyim,8
sütununu açmak,"yer vermek, yayımlamak:<i> 'Sanat dergilerinden biri bir ara, genç şairlere sütunlarını açmıştı.' -</i>B. R. Eyuboğlu.",sütun,Deyim,4
sütüne kalmak,"insanlığına, namusuna kalmak.",süt,Deyim,8
süzgeçten geçirmek,ayrıntılı bir biçimde incelemek:<i> 'Genç şair ile hanım ilk anlarda birbirlerini tepeden ayağa süzgeçten geçirdiler.' -</i>N. F. Kısakürek.,süzgeç,Deyim,8
süzüm süzüm süzülmek,"kendini beğenmiş bir tavırla ağırbaşlı oturup çevreye bakmak:<i> 'Gelin tarafı da görümceler de yerlerinden kımıldamadılar, süzüm süzüm süzüldüler.' -</i>E. Bener.",süzüm süzüm,Deyim,8
şafak sökmek,"sabahleyin ortalık aydınlanmaya başlamak:<i> 'Şafak sökerken evden çıkıyor, akşam karanlığında dönüyordu.' -</i>R. Enis.",şafak,Deyim,8
Şafii köpeği gibi titremek,çok titremek.,Şafii,Deyim,9
Şafii köpeğine dönmek,yüzü gözü çok kirli olmak.,Şafii,Deyim,9
şaha kalkmak,"1) at ön ayaklarını yerden kesip arka ayakları üstünde durmak, şahlanmak:<i> 'Aydınlıktan huylanan atlar şaha kalkarak deli gibi dörtnala ileri atılıyorlardı.' -</i>Ö. Seyfettin. 2)<i> mec.</i> taşkınlık göstermek, coşmak, kükremek.",şah(II),Deyim,8
şaheser yaratmak,"üstün, kalıcı niteliği olan bir eser ortaya koymak, çok önemli bir şey yapmak:<i> 'Şu millî savaş içinde köy kadını başlı başına bir tarih, bir şaheser yaratıyor.' -</i>A. Gündüz.",şaheser,Deyim,4
şahin ile deve avlanmaz,"küçük şeyleri elde etmek için yeterli olan araçla, büyük şeyler elde edilemez.",avlanmak,Atasözü,6
şahin küçük ama payını ele vermez,"küçük olmak güçsüz olmak demek değildir, kendilerinden büyük olandan daha güçlü olan küçükler de vardır.","el, vermek",Atasözü,1
şahin küçüktür ama koca turnayı havadan indirir,"küçük olmak güçsüz olmak demek değildir, kendilerinden büyük olandan daha güçlü olan küçükler de vardır.",indirmek ,Atasözü,1
şahit tutmak,"birini tanık olarak göstermek:<i> 'Eniştemiz bizi şahit tuttukça babam da istihzalı bir tavır alır, kıs kıs gülerdi.' -</i>A. Ş. Hisar.",şahit,Deyim,8
şahken şahbaz olmak,<i> alay</i> bir kimsenin herhangi bir sebeple çirkinliği veya durumunun kötülüğü artmak.,şah(I),Deyim,4
şahsiyat yapmak,söz edilen konudan uzaklaşarak olumsuz yönleriyle kişiler üzerinde durmak.,şahsiyat,Deyim,8
şahsiyata dökmek,şahsiyat yapmak.,şahsiyat,Deyim,8
şaibe altında kalmak (tutulmak),"kusurlu, ayıplı, lekeli sayılmak:<i> 'Yakın zamanlarda bizim parlamentomuz da bu gibi şaibeler altında tutuldu.' -</i>H. Taner.",şaibe,Deyim,8
şak diye,ansızın:<i> Şak diye yüzüne vurdu.</i>,şak(I),Deyim,8
şaka etmek,bir kimseye eğlenmek amacıyla takılmak.,şaka,Deyim,6
şaka gibi gelmek,bir türlü inanamamak.,şaka,Deyim,4
şaka götürmemek,"1) bir durum veya iş hafifsemeye, dikkatsizliğe gelmemek:<i> 'Rica ederim gülmeyiniz, iş pek naziktir, şaka götürmez.' -</i>H. R. Gürpınar. 2) şakadan hoşlanmamak.",şaka,Deyim,4
şaka kaldırmak,"şakaya dayanmak, katlanmak:<i> 'Bizim oralılar şakacıdırlar, şaka kaldırırlar.' -</i>M. Ş. Esendal.",şaka,Deyim,8
şaka maka derken,"'işi ciddiye almadık ama' anlamında kullanılan bir söz:<i> 'Geçen gün, şaka maka derken az daha kavga ediyorduk bu yüzden.' -</i>N. Hikmet.",şaka maka,Deyim,3
şaka yapmak,şaka niteliğinde bir şey yapmak veya söylemek:<i> 'İlk defa görüştüğümüz hâlde benimle şaka yaptı.' -</i>Ö. Seyfettin.,şaka,Deyim,4
şakakları ağarmak (beyazlanmak),"yaşlanmak:<i> 'Ben o eski adam değilim, şakaklarım nasıl beyazlanmış, görmüyor musun?' -</i>Y. K. Karaosmanoğlu.",şakak,Deyim,8
şakakları atmak,"çok sinirlenmek:<i> 'Kalbinin yırtıldığını, kilitlenen çenelerinin çatırdadığını, şakaklarının attığını duyardı.' -</i>Ö. Seyfettin.",şakak,Deyim,9
şakası yok,"'hatır gönül tanımaz, gerekeni yapar' anlamında kullanılan bir söz.",şaka,Deyim,3
şakaya almak,"söylenilen gerçek sözü şaka gibi kabul etmek:<i> 'Mustafa Kemal Paşa, bu isteği ilk önce şakaya alarak şöyle cevaplandırmıştı.' -</i>Y. K. Karaosmanoğlu.",şaka,Deyim,7
şakaya gelmek,"şakaya katlanır olmak:<i> 'Öyle zannedildiği gibi şakaya gelecek bir adam olmadığını göstermek için bu, ne güzel bir fırsattı!' -</i>R. N. Güntekin.",şaka,Deyim,4
şakaya gelmemek,"1) şakaya dayanamamak; 2) hafifsemeye, savsaklamaya gelmemek.",şaka,Deyim,8
şakaya getirmek,"ciddi bir şeyi açıktan açığa söyleyemeyip şaka görünümü vererek söylemek:<i> 'Şakaya getirip söyledim, latife ediyordum.' -</i>R. H. Karay.",şaka,Deyim,4
şakaya sığınmak,şakaya vurmak:<i> 'Kaç kez şakaya sığınıp benzer yanıtlar vermişti.' -</i>E. Atasü.,şaka,Deyim,8
şakaya vurmak,ciddi bir söz veya davranışı şaka yoluyla geçiştirmek.,şaka,Deyim,4
şakayı kakaya çevirmek,<i> tkz.</i> şakayken kaka olmak.,şaka,Deyim,1
şakayken kaka olmak,"<i> tkz.</i> el ve dil ile yapılan şakadan, hoş olmayan bir sonuç veya kavga çıkmak.",şaka,Deyim,1
şalvar gibi,çok bol (pantolon).,şalvar,Deyim,9
şamama gibi,"ufak tefek, sevimli (kimse).",şamama,Deyim,8
şamar atmak (indirmek),şamarlamak.,şamar,Deyim,8
şamar patlatmak,aniden güçlü bir tokat atmak:<i> 'Sağ avucumun bir şamar patlatmak için nasıl kaşındığını hâlâ unutmuyorum.' -</i>T. Uyar.,şamar,Deyim,4
şamaroğlanına dönmek,yerli yersiz suçlanıp azarlanmak.,şamaroğlanı,Deyim,8
şamata etmek (koparmak),"gürültü patırtı yapmak:<i> 'Amma da şamata ettin be çorbacı, dedi.' -</i>H. Taner.<i> 'Haykırarak, şamata kopararak, yarı havada, yarı yerde koşup kendilerini çeşmenin yalaklarına atarlardı.' -</i>R. H. Karay.",şamata,Deyim,8
şan vermek,ün salmak.,şan(I),Deyim,8
şanına yakışmak,şanından olmak.,şan(I),Deyim,1
şanına yedirememek,yenilgiyi kabul edememek:<i> 'Onların karşısında ilk elde çekilmeyi şanına yediremedi.' -</i>Ö. Seyfettin.,şan(I),Deyim,8
şanından olmak,"bir şey onun büyüklüğüne, karakterine uygun olmak, yaraşmak.",şan(I),Deyim,1
